campaign_id,campaign_name,objective,persona_raw,stage,subject,body,full_text,char_count,word_count,has_subject
4,25% More Funding,Prospect,"List 1: Competitor Users/Worktribe Specific

List2: Vice chancellors, dir of research, SENIOR",Follow-up B,,"Hi, [Name],","Hi, [Name],",11,2,False
5,-,Integration with ERP,,Base,One research system that talks to your ERP and finance,"Hi {{First name}},

When your research management system doesn't connect to your ERP, HR and finance tools, your team ends up doing the same work twice. The same data gets entered in more than one place, finance numbers have to be checked by hand, and the reports rarely line up. With most research management systems, fixing this means a handful of basic APIs and an integration project that can drag on for over a year.

GrantsNow is built to connect from day one. It has plug-and-play integrations pre-built for legacy ERP systems with APIs to exchange data with any third-party cloud platform. That's one of the main reasons why our implementations are faster. All this at a cost almost 35% lower than most available systems today.

I would be happy to connect with you and walk you through how GrantsNow works.

Best regards,","Subject: One research system that talks to your ERP and finance

Hi {{First name}},

When your research management system doesn't connect to your ERP, HR and finance tools, your team ends up doing the same work twice. The same data gets entered in more than one place, finance numbers have to be checked by hand, and the reports rarely line up. With most research management systems, fixing this means a handful of basic APIs and an integration project that can drag on for over a year.

GrantsNow is built to connect from day one. It has plug-and-play integrations pre-built for legacy ERP systems with APIs to exchange data with any third-party cloud platform. That's one of the main reasons why our implementations are faster. All this at a cost almost 35% lower than most available systems today.

I would be happy to connect with you and walk you through how GrantsNow works.

Best regards,",895,160,True
5,-,Integration with ERP,,Follow-up B,,Counting down to ARMA. Looking forward to catching up if you are heading to Harrogate.,Counting down to ARMA. Looking forward to catching up if you are heading to Harrogate.,86,15,False
7,ARMA summary email,,,Base,,"Hi [name],

It was good to meet so many people at ARMA. We spoke to delegates from a wide range of universities, mostly the teams doing the day-to-day pre-award and post-award work, and we heard a few of the same themes again and again:

• There is a lack of solutions for fully automated funding opportunity scanning.
• There are consistent issues with a lack of integration between RMS and CRIS systems, plus the time and effort it takes to work with ERP, Finance and HR systems.
• Teams want to easily configure hierarchies and workflows in pre and post-award platforms, to enable automation and internal approvals inside a single system.

That last point is one we have already worked on. From our own previous research , we have built it into GrantsNow, which also costs 35% less than the leading competitors. You can learn more here: [link].

If any of these are problems for your team, I would be happy to show you how GrantsNow works. Just reply to this email and we can set up a short call.","Hi [name],

It was good to meet so many people at ARMA. We spoke to delegates from a wide range of universities, mostly the teams doing the day-to-day pre-award and post-award work, and we heard a few of the same themes again and again:

• There is a lack of solutions for fully automated funding opportunity scanning.
• There are consistent issues with a lack of integration between RMS and CRIS systems, plus the time and effort it takes to work with ERP, Finance and HR systems.
• Teams want to easily configure hierarchies and workflows in pre and post-award platforms, to enable automation and internal approvals inside a single system.

That last point is one we have already worked on. From our own previous research , we have built it into GrantsNow, which also costs 35% less than the leading competitors. You can learn more here: [link].

If any of these are problems for your team, I would be happy to show you how GrantsNow works. Just reply to this email and we can set up a short call.",999,181,False
7,ARMA summary email,,,Follow-up B,,"Best wishes,","Best wishes,",12,2,False
8,Email to promote WP4,,,Base,,"Hi [Name], 

Most of the discussion around a proposal still happens over email. A co-investigator asks a question in one thread, the peer review comes back in another while the approval sits a few replies down in an inbox.

Your grants system stores the final document, but it does not show you the discussion around the proposal. This means that your team must back track and go through endless email chains to know the full history.

While this missing functionality won't cost you much few months away from a deadline but will surely end up costing you time and money when you are nearing the deadline. This is because your team does not have a centralised collaboration environment to efficiently keep track of critical feedback, changes and approvals

GrantsNow keeps the conversation with the proposal instead of in your inbox. In simple terms, it’s centralised and connected to your proposal record to help your team track all the feedback, changes and approvals from one place, without having to worry about the chaos of an inbox. Best part? The team is no longer worried when the auditor or funder has a question and they end up spending 45% less time on pre-award admin per submission.

If you recognise any of this, the white paper goes through how it works..

Please download the whitepaper to know more: [LINK]

Best,
[Your name]
Zoe","Hi [Name], 

Most of the discussion around a proposal still happens over email. A co-investigator asks a question in one thread, the peer review comes back in another while the approval sits a few replies down in an inbox.

Your grants system stores the final document, but it does not show you the discussion around the proposal. This means that your team must back track and go through endless email chains to know the full history.

While this missing functionality won't cost you much few months away from a deadline but will surely end up costing you time and money when you are nearing the deadline. This is because your team does not have a centralised collaboration environment to efficiently keep track of critical feedback, changes and approvals

GrantsNow keeps the conversation with the proposal instead of in your inbox. In simple terms, it’s centralised and connected to your proposal record to help your team track all the feedback, changes and approvals from one place, without having to worry about the chaos of an inbox. Best part? The team is no longer worried when the auditor or funder has a question and they end up spending 45% less time on pre-award admin per submission.

If you recognise any of this, the white paper goes through how it works..

Please download the whitepaper to know more: [LINK]

Best,
[Your name]
Zoe",1346,234,False
8,Email to promote WP4,,,Follow-up B,,Ian,Ian,3,1,False
9,Email to promote WP5,,,Base,Your reporting numbers come from a copy of your grants data,"Hello [First name],

 Leadership, funders and the government bodies you report to all want the same numbers: how many proposals went out, how many succeeded, how much risk sits in the grant portfolio, and how much funding income to expect next year.

Those numbers already exist in your costing system but the reports get built somewhere else, and your research administration team exports the grants data and loads it into a separate reporting tool such as Power BI.

The problem with that is the numbers are only as current as the last export, And a separate reporting tool can report only on what was recorded in the grants system in the first place, so reviewer details, early interest in a funding call, and line item cost detail cannot be reported on if they were never captured.
Futhermore, your team is still doing manual reporting months after the new grants system went live, which is the work the new system was bought to stop. And when your grants system cannot answer a question, people stop asking it, so the information drops out of your reporting altogether.

GrantsNow covers the whole research grants process, so reporting reads the live data in GrantsNow instead of a copy taken last week. The steps that used to go unrecorded are captured. If your team wants to keep using Power BI, they can, with GrantsNow feeding it the same data.

The whitepaper covers the rest: what gets recorded at each stage, what each role sees, and what changes for audit queries, funder requests and government returns.

Read the whitepaper: [link]

Best regards,
[Name]
GrantsNow
grantsnow.co.uk · (+44) 7710 041194 · contact@grantsnow.co.uk","Subject: Your reporting numbers come from a copy of your grants data

Hello [First name],

 Leadership, funders and the government bodies you report to all want the same numbers: how many proposals went out, how many succeeded, how much risk sits in the grant portfolio, and how much funding income to expect next year.

Those numbers already exist in your costing system but the reports get built somewhere else, and your research administration team exports the grants data and loads it into a separate reporting tool such as Power BI.

The problem with that is the numbers are only as current as the last export, And a separate reporting tool can report only on what was recorded in the grants system in the first place, so reviewer details, early interest in a funding call, and line item cost detail cannot be reported on if they were never captured.
Futhermore, your team is still doing manual reporting months after the new grants system went live, which is the work the new system was bought to stop. And when your grants system cannot answer a question, people stop asking it, so the information drops out of your reporting altogether.

GrantsNow covers the whole research grants process, so reporting reads the live data in GrantsNow instead of a copy taken last week. The steps that used to go unrecorded are captured. If your team wants to keep using Power BI, they can, with GrantsNow feeding it the same data.

The whitepaper covers the rest: what gets recorded at each stage, what each role sees, and what changes for audit queries, funder requests and government returns.

Read the whitepaper: [link]

Best regards,
[Name]
GrantsNow
grantsnow.co.uk · (+44) 7710 041194 · contact@grantsnow.co.uk",1710,290,True
10,Email for NCURA,,,Base,,"Hi [First name],

GrantsNow are pleased to be attending NCURA AM68, and we will be there from August 1 to 4 in New York City.

Do come by our booth [number] in the exhibit to meet our team and see the latest updates in functionality in our AI-driven, cloud-based grants management platform built to improve efficiency in pre-award and post-award in research offices.

We will be happy to show you how GrantsNow works and how our clients and users are benefiting from our SaaS cloud platform.

We look forward to showing you what we have been working on.

See you at NCURA AM68.

[Name]
GrantsNow
grantsnow.co.uk · contact@grantsnow.co.uk","Hi [First name],

GrantsNow are pleased to be attending NCURA AM68, and we will be there from August 1 to 4 in New York City.

Do come by our booth [number] in the exhibit to meet our team and see the latest updates in functionality in our AI-driven, cloud-based grants management platform built to improve efficiency in pre-award and post-award in research offices.

We will be happy to show you how GrantsNow works and how our clients and users are benefiting from our SaaS cloud platform.

We look forward to showing you what we have been working on.

See you at NCURA AM68.

[Name]
GrantsNow
grantsnow.co.uk · contact@grantsnow.co.uk",637,116,False
10,Email for NCURA,,,Follow-up A,,"Hi [First name],

We will be at NCURA AM68 in New York City, August 1 to 4, at booth [number] in the exhibit hall.
Do come by our booth [number] in the exhibit to meet our team and see the latest updates in functionality in our AI-driven, cloud-based grants management platform built to improve efficiency in pre-award and post-award in research offices.
We already work with the University of Chicago, along with universities and research institutions across the UK, Europe and Middle East. 
 Stop by the booth and we'll show you how those offices are running now, and what it took to get there.
 If you'd rather set a time in advance, reply to this email and we will work around your schedule.

See you in New York.

Best,
[Name]
GrantsNow
grantsnow.net · contact@grantsnow.co.uk","Hi [First name],

We will be at NCURA AM68 in New York City, August 1 to 4, at booth [number] in the exhibit hall.
Do come by our booth [number] in the exhibit to meet our team and see the latest updates in functionality in our AI-driven, cloud-based grants management platform built to improve efficiency in pre-award and post-award in research offices.
We already work with the University of Chicago, along with universities and research institutions across the UK, Europe and Middle East. 
 Stop by the booth and we'll show you how those offices are running now, and what it took to get there.
 If you'd rather set a time in advance, reply to this email and we will work around your schedule.

See you in New York.

Best,
[Name]
GrantsNow
grantsnow.net · contact@grantsnow.co.uk",781,143,False
11,"GN_WP_8_Promo_Fin 2 (""The Right Handover from Pre-Award to Finance"")",,,Base,How ICR and Queen Margaret keep every finance line traceable to approved costs,"Hello $[UD:FIRST_NAME||]$,
Every award your team sets up in the finance system should tie back to the approved costing. When it is re-entered manually at handover, that traceability breaks before the project even starts.
No budget visibility
Finance cannot trace figures back to the original approved costs, so there is no clear line of sight from the award to the budget.
Errors built into the budget
The budget can be wrong from the start, and every revision adds another chance for figures to drift from what was approved.
Reconciliation the team should not have to do
Finance spends time fixing differences that were introduced at handover, not created by the project itself.
GrantsNow supports finance teams at Institute of Cancer Research, Queen Margaret University and University of East Anglia with a budget that is correct and auditable from day one, full traceability from every finance line back to the original approved costing, and no manual re-entry or reconciliation at handover.","How ICR and Queen Margaret keep every finance line traceable to approved costs
Hello $[UD:FIRST_NAME||]$,
Every award your team sets up in the finance system should tie back to the approved costing. When it is re-entered manually at handover, that traceability breaks before the project even starts.
No budget visibility
Finance cannot trace figures back to the original approved costs, so there is no clear line of sight from the award to the budget.
Errors built into the budget
The budget can be wrong from the start, and every revision adds another chance for figures to drift from what was approved.
Reconciliation the team should not have to do
Finance spends time fixing differences that were introduced at handover, not created by the project itself.
GrantsNow supports finance teams at Institute of Cancer Research, Queen Margaret University and University of East Anglia with a budget that is correct and auditable from day one, full traceability from every finance line back to the original approved costing, and no manual re-entry or reconciliation at handover.",994,160,True
12,"GN_WP_8_Promo_Research 2 and 3 (""The Right Handover from Pre-Award to Finance"")",,,Base,,"Hello $[UD:FIRST_NAME||]$,
Significant effort goes into agreeing the project cost base. But once those figures are re-entered into finance, the approved position can be lost, creating a disconnect between the original business case and the budget used to manage delivery.
1
Detailed costs get flattened
You build the budget cost by cost during the application. At handover, all that detail is squashed into a few broad finance categories, so no one can see how each figure was worked out.
2
The wrong number gets carried over
Sometimes the amount you asked for is used instead of the amount you were actually given. When that happens, the budget is wrong before the project even starts.
3
The same work gets done twice
Figures that were already calculated and approved during the application have to be typed in again by the research team after the award.
4
The problem keeps growing
Grant applications are up 57% since 2022 (Rees and Wilsdon, Nature, 2026). More applications lead to more awards, and every award still goes through this same slow, manual handover, so the workload keeps climbing.
GrantsNow carries your approved, contract-matched costing directly into the finance budget in one step, with each cost line already mapped to the right finance code. You enter your time inputs once, and the costing reaches finance intact.
Researchers at Institute of Cancer Research, Queen Margaret University and University of Portsmouth already use it. Because costing rules apply staff costs, overheads and funder rates as data is entered, costing accuracy improves by around 60% against a manual baseline, on the targets we calibrate against your own baseline.","
Hello $[UD:FIRST_NAME||]$,
Significant effort goes into agreeing the project cost base. But once those figures are re-entered into finance, the approved position can be lost, creating a disconnect between the original business case and the budget used to manage delivery.
1
Detailed costs get flattened
You build the budget cost by cost during the application. At handover, all that detail is squashed into a few broad finance categories, so no one can see how each figure was worked out.
2
The wrong number gets carried over
Sometimes the amount you asked for is used instead of the amount you were actually given. When that happens, the budget is wrong before the project even starts.
3
The same work gets done twice
Figures that were already calculated and approved during the application have to be typed in again by the research team after the award.
4
The problem keeps growing
Grant applications are up 57% since 2022 (Rees and Wilsdon, Nature, 2026). More applications lead to more awards, and every award still goes through this same slow, manual handover, so the workload keeps climbing.
GrantsNow carries your approved, contract-matched costing directly into the finance budget in one step, with each cost line already mapped to the right finance code. You enter your time inputs once, and the costing reaches finance intact.
Researchers at Institute of Cancer Research, Queen Margaret University and University of Portsmouth already use it. Because costing rules apply staff costs, overheads and funder rates as data is entered, costing accuracy improves by around 60% against a manual baseline, on the targets we calibrate against your own baseline.",1662,269,False
